ID;ENGLISH;FRENCH;LANGUAGE_3;LANGUAGE_4;LANGUAGE_5;LANGUAGE_6;LANGUAGE_7;LANGUAGE_8;LANGUAGE_9;LANGUAGE_10;
voM027_EN;It’s the same cube as before, this thing brought me here, maybe this is my way out.;C'est le même cube qu'avant, cette chose m'a ramené ici, c'est peut être ma sortie.;;;;;;;;;
voM028_EN;God help me, what was that?;Mon dieu sauve moi, qu'est-ce que c'était que cela ?;;;;;;;;;
voM029_EN;I can control it, this is unlike anything I’ve ever seen, alchemy maybe.;Je peux le contrôler, je n'ai jamais rien vu de pareil, c'est peut être de l'alchimie ?;;;;;;;;;
voS031_EN;Finally… Possibilities…;Enfin... des possibilités...;;;;;;;;;
voS032_EN;Fate brought you here…;Le destin t'as amené ici...;;;;;;;;;
voS033_EN;Push through, come to me;Continue d'avancer, viens jusqu'à moi;;;;;;;;;
voS034_EN;You have the key;Tu as la clé...;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
